"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.08.2022","136.997,69","132.252,56","137.322,61","132.252,56","","3,59%"
"22.08.2022","132.252,56","131.009,08","132.419,77","129.648,85","","0,95%"
"19.08.2022","131.009,08","131.490,91","131.490,91","128.619,82","","-0,37%"
"18.08.2022","131.490,91","125.962,94","131.584,88","125.962,94","","4,39%"
"17.08.2022","125.962,94","124.787,34","126.151,06","124.106,22","","0,94%"
"16.08.2022","124.787,34","125.979,57","127.589,79","123.681,83","","-0,95%"
"12.08.2022","125.979,57","123.333,93","126.263,46","123.333,93","","2,15%"
"11.08.2022","123.333,93","122.129,90","124.616,97","122.129,90","","0,99%"
"10.08.2022","122.129,90","121.920,79","123.108,25","121.243,26","","0,17%"
"09.08.2022","121.920,79","123.953,36","123.953,36","121.707,72","","-1,64%"
"08.08.2022","123.953,36","121.003,89","124.194,48","121.003,89","","2,44%"
"05.08.2022","121.003,89","120.437,18","122.564,53","120.437,18","","0,47%"
"04.08.2022","120.437,18","120.389,93","121.699,30","119.097,40","","0,04%"
"03.08.2022","120.389,93","118.691,20","120.658,11","118.114,42","","1,43%"
"02.08.2022","118.691,20","117.592,51","120.092,17","117.144,50","","0,94%"
"01.08.2022","117.586,78","122.551,36","122.870,90","117.255,14","","-4,03%"
"29.07.2022","122.528,27","127.592,57","130.078,83","122.223,13","","-3,82%"
"28.07.2022","127.400,00","126.361,98","130.650,78","124.416,80","","0,82%"
"27.07.2022","126.361,98","120.038,38","126.670,33","118.813,91","","5,27%"
"26.07.2022","120.038,38","119.508,31","121.436,69","118.521,36","","0,44%"
"25.07.2022","119.508,31","113.851,41","119.805,83","113.851,41","","4,97%"
"22.07.2022","113.851,41","112.017,03","114.070,16","111.070,23","","1,64%"
"21.07.2022","112.017,03","106.949,06","113.408,54","106.333,99","","4,74%"
"20.07.2022","106.949,06","107.185,43","107.648,06","106.016,87","","-0,22%"
"19.07.2022","107.185,43","105.441,24","107.547,08","105.441,24","","1,65%"
"18.07.2022","105.441,24","104.222,92","106.523,39","104.222,92","","1,17%"
"15.07.2022","104.222,92","100.518,41","104.351,34","100.430,45","","3,69%"
"14.07.2022","100.518,41","102.270,96","102.270,96","100.026,97","","-1,71%"
"13.07.2022","102.270,96","103.209,83","103.369,45","101.955,15","","-0,91%"
"12.07.2022","103.209,83","104.431,92","104.445,42","101.790,59","","-1,17%"
"11.07.2022","104.431,92","105.851,67","105.851,67","101.922,03","","-1,34%"
"08.07.2022","105.850,01","102.591,51","106.469,99","101.143,99","","3,51%"
"07.07.2022","102.265,41","95.075,87","102.585,79","95.075,87","","7,56%"
"06.07.2022","95.075,87","92.689,47","95.199,72","90.918,51","","2,57%"
"05.07.2022","92.689,47","89.134,49","92.950,40","89.066,26","","3,99%"
"04.07.2022","89.128,79","90.249,12","90.249,12","87.005,58","","-1,02%"
"01.07.2022","90.050,78","88.449,89","90.276,51","87.760,97","","1,81%"
"30.06.2022","88.449,89","88.130,75","89.244,56","85.765,30","","0,36%"
"29.06.2022","88.130,75","88.194,70","88.544,18","86.567,35","","-0,07%"
"28.06.2022","88.194,70","85.712,27","88.349,61","85.712,27","","2,90%"
"27.06.2022","85.712,27","82.605,64","85.785,12","82.374,26","","3,76%"
"24.06.2022","82.605,64","83.170,06","84.061,25","82.295,51","","-0,68%"
"23.06.2022","83.170,06","85.662,48","85.662,48","81.977,46","","-2,91%"
